grid,data_count
0,0
1,0
2,3419
3,0
4,0
5,0
6,13128178
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,36961
15,0
16,0
17,0
18,82482
19,0
20,0
21,0
22,0
23,72228
24,47847
25,0
26,0
27,0
28,0
29,84528
30,0
31,0
32,0
33,0
34,0
35,68511
36,0
37,0
38,83086
39,0
40,6733
41,0
42,0
43,0
44,0
45,102911
46,0
47,0
48,0
49,0
50,0
51,198749
52,13128614
53,0
54,0
55,0
56,0
57,0
58,0
59,115949
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,179791
71,96482
72,0
73,0
74,292281
75,184873
76,0
77,19044
78,345215
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,64631
90,0
91,0
92,0
93,0
94,0
95,92656
96,0
97,112092
98,71275
99,0
100,0
101,41878
102,192
103,6925
104,1582
105,924
106,13123337
107,5388
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,112096
116,0
117,64782
118,137976
119,10900571
120,844
121,12
122,4295
123,13136413
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,13128276
133,0
134,0
135,0
136,0
137,0
138,37222
139,45758
140,3486
141,4
142,0
143,0
144,0
145,0
146,0
147,13127459
148,0
149,0
150,0
151,0
152,4715
153,0
154,0
155,0
156,0
157,0
158,39098
159,0
160,0
161,0
162,772
163,0
164,17486
165,4489
166,12576
167,7248
168,5353
169,12239
170,32078
171,9348
172,22049
173,128169
174,144086
175,68347
176,0
177,0
178,28957
179,27356
180,0
181,0
182,5
183,3829
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,226710
193,27456
194,0
195,0
196,90702
197,128386
198,0
199,0
